bill_id,sponsor_1,sponsor_2
OKB00012040,OKL000181,
OKB00011985,OKL000147,
OKB00012041,OKL000042,OKL000123
OKB00012042,OKL000011,OKL000066
OKB00011983,OKL000008,OKL000078
OKB00010896,OKL000144,OKL000043
OKB00012015,OKL000130,OKL000027
OKB00012032,OKL000130,OKL000027
OKB00011992,OKL000078,OKL000008
OKB00012039,OKL000163,OKL000106
OKB00010567,OKL000015,OKL000189
OKB00011334,OKL000133,OKL000117
OKB00012020,OKL000027,OKL000130
OKB00011869,OKL000130,OKL000027
OKB00010965,OKL000173,OKL000042
OKB00011581,OKL000027,OKL000059
OKB00012002,OKL000027,OKL000130
OKB00011041,OKL000168,OKL000074
OKB00012003,OKL000130,OKL000027
OKB00012005,OKL000027,OKL000130
OKB00009857,OKL000071,OKL000158
OKB00011666,OKL000104,OKL000044
OKB00010499,OKL000057,OKL000155
OKB00011300,OKL000057,OKL000117
OKB00012026,OKL000027,OKL000130
OKB00012006,OKL000027,OKL000130
OKB00011996,OKL000027,OKL000130
OKB00011733,OKL000106,OKL000046
OKB00010563,OKL000056,OKL000019
OKB00010647,OKL000059,OKL000027
OKB00010145,OKL000165,OKL000163
OKB00011488,OKL000096,OKL000046
OKB00011999,OKL000027,OKL000130
OKB00010260,OKL000197,OKL000011
OKB00010890,OKL000173,OKL000042
OKB00011274,OKL000110,OKL000045
OKB00012034,OKL000130,OKL000027
OKB00010271,OKL000051,OKL000003
OKB00011180,OKL000031,OKL000189
OKB00010855,OKL000084,OKL000006
OKB00012016,OKL000027,OKL000130
OKB00010374,OKL000011,OKL000164
OKB00012001,OKL000130,OKL000027
OKB00012027,OKL000027,OKL000130
OKB00010727,OKL000093,OKL000027
OKB00010444,OKL000023,OKL000166
OKB00012038,OKL000106,OKL000046
OKB00012036,OKL000130,OKL000027
OKB00011268,OKL000168,OKL000106
OKB00010687,OKL000163,OKL000126
OKB00009876,OKL000071,OKL000023
OKB00011134,OKL000093,OKL000163
OKB00009929,OKL000044,
OKB00011792,OKL000015,
OKB00011830,OKL000020,OKL000057
OKB00011377,OKL000082,OKL000007
OKB00009959,OKL000032,OKL000130
OKB00012010,OKL000027,OKL000130
OKB00010705,OKL000004,OKL000074
OKB00010118,OKL000113,OKL000031
OKB00011997,OKL000027,OKL000130
OKB00010750,OKL000155,OKL000106
OKB00009772,OKL000159,OKL000086
OKB00011460,OKL000043,OKL000065
OKB00012014,OKL000130,OKL000027
OKB00011525,OKL000045,OKL000166
OKB00011529,,OKL000034
OKB00009812,OKL000098,OKL000011
OKB00010962,OKL000041,OKL000253
OKB00011002,OKL000020,OKL000057
OKB00011067,OKL000041,OKL000166
OKB00011975,OKL000027,OKL000130
OKB00011155,OKL000045,OKL000130
OKB00009890,OKL000163,OKL000166
OKB00011191,OKL000189,OKL000159
OKB00009897,OKL000023,OKL000149
OKB00009904,OKL000071,OKL000158
OKB00012008,OKL000130,OKL000027
OKB00011981,OKL000027,OKL000130
OKB00012030,OKL000027,OKL000130
OKB00012037,OKL000130,OKL000027
OKB00011836,OKL000046,OKL000074
OKB00011838,OKL000106,OKL000155
OKB00011995,OKL000166,OKL000044
OKB00010739,OKL000173,OKL000034
OKB00011711,OKL000008,OKL000078
OKB00011954,OKL000129,OKL000019
OKB00010472,OKL000028,OKL000110
OKB00011328,OKL000045,OKL000096
OKB00010719,OKL000041,OKL000253
OKB00010843,OKL000065,OKL000022
OKB00010372,OKL000147,OKL000041
OKB00011310,OKL000066,OKL000163
OKB00010602,OKL000015,OKL000148
OKB00011779,OKL000096,OKL000034
OKB00011203,OKL000090,OKL000258
OKB00011250,OKL000089,OKL000034
OKB00012023,OKL000255,
OKB00010262,OKL000157,OKL000084
OKB00011978,OKL000130,OKL000027
OKB00010353,OKL000043,OKL000144
OKB00010963,OKL000124,OKL000016
OKB00011027,OKL000107,OKL000040
OKB00011333,OKL000032,OKL000130
OKB00011619,OKL000045,OKL000074
OKB00011990,OKL000071,OKL000117
OKB00010956,OKL000117,OKL000130
OKB00010250,OKL000032,OKL000098
OKB00010042,OKL000108,OKL000044
OKB00011927,OKL000027,OKL000074
OKB00009860,OKL000044,OKL000178
OKB00010548,OKL000036,OKL000113
OKB00009974,OKL000262,
